GeneName,EnsemblGeneId,GFP-,10e2 GFP+,log2(fold_change),p_value,q_value
AASDH: aminoadipate-semialdehyde dehydrogenase,ENSGALG00000013764,6.63341,14.5314,1.13135,0.00167599,0.0259212
"ABCB7: ABC transporter, integral membrane type 1",ENSGALG00000007788,11.2928,32.6286,1.53073,0.004123,0.0473983
"ABCB9: ATP-binding cassette, sub-family B (MDR/TAP), member 9",ENSGALG00000003736,1.42214,6.14483,2.11132,0.000145953,0.00386619
"ABCF2: ATP-binding cassette, sub-family F (GCN20), member 2",ENSGALG00000013354,42.8012,87.9647,1.03927,8.72E-05,0.00250387
ABTB1: ankyrin repeat and BTB (POZ) domain containing 1,ENSGALG00000005999,2.66371,6.53133,1.29394,8.69E-06,0.000370064
"ACADSB: hort/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ENSGALG00000009656,5.05202,17.8829,1.82365,0,0
ACAN: aggrecan,ENSGALG00000006725,1.03174,6.51625,2.65897,3.41E-05,0.00120225
Acat2/Acat3: acetyl-Coenzyme A acetyltransferase 2,ENSGALG00000011659,15.8947,48.8909,1.62102,0.00306254,0.0391059
ACBD7: acyl-CoA binding domain containing 7,ENSGALG00000019663,0.636104,5.02769,2.98256,0.00429234,0.0486047
"ACCN2: Amiloride-sensitive cation channel 2, neuronal",ENSGALG00000006240,1.83275,7.96852,2.1203,8.21E-05,0.00240189
ACSL1: acyl-CoA synthetase long-chain family member 1,ENSGALG00000010628,11.6399,44.1529,1.92343,0.000428549,0.00911673
ACSL6: acyl-CoA synthetase long-chain family member 6,ENSGALG00000006644,9.5884,64.6712,2.75376,0,0
"ACT5: Actin, cytoplasmic type 5",ENSGALG00000001381,105.812,335.092,1.66305,5.52E-06,0.000249605
ADAM10: ADAM metallopeptidase domain 10,ENSGALG00000004212,3.10054,12.2806,1.98579,0.00226288,0.031986
ADAM33: ADAM metallopeptidase domain 33,ENSGALG00000016038,5.52529,18.1801,1.71824,0.000397086,0.0086444
"ADAMTS1: ADAM metallopeptidase with thrombospondin type 1 motif, 1",ENSGALG00000015792,8.25553,49.7337,2.59079,2.79E-11,4.83E-09
"ADAMTS15: ADAM metallopeptidase with thrombospondin type 1 motif, 15",ENSGALG00000001407,2.23718,6.83693,1.61166,0.000905788,0.0161856
"ADAT1: adenosine deaminase, tRNA-specific 1",ENSGALG00000000908,36.901,95.9006,1.37788,0.00142606,0.0228132
ADCY8: adenylate cyclase 8 (brain),ENSGALG00000016298,2.11502,17.1489,3.01937,1.54E-06,8.14E-05
ADSS: adenylosuccinate synthase,ENSGALG00000010702,27.8692,81.0098,1.53942,0.000862602,0.0155328
ADSSL1: adenylosuccinate synthase like 1,ENSGALG00000011618,4.45046,10.341,1.21635,0.00309473,0.0392937
ADSV: Adseverin ,ENSGALG00000010770,1.07128,5.49722,2.35936,0.0020534,0.0299875
AFG3L2: AFG3 ATPase family member 3-like 2 (S. cerevisiae),ENSGALG00000013853,17.1971,43.1586,1.32748,3.96E-05,0.00134638
AHCTF1: AT hook containing transcription factor 1,ENSGALG00000010630,30.562,62.9622,1.04274,5.45E-09,5.63E-07
AHCY: adenosylhomocysteinase,ENSGALG00000002030,23.2716,64.7739,1.47684,0.00403992,0.0469287
AHCYL1: adenosylhomocysteinase-like 1,ENSGALG00000000329,9.03272,18.4207,1.02809,9.26E-11,1.38E-08
"AIDA: axin interactor, dorsalization associated",ENSGALG00000009426,16.5469,46.3453,1.48586,0.00376836,0.0447543
"AIFM1: apoptosis-inducing factor, mitochondrion-associated, 1",ENSGALG00000004003,29.1631,89.825,1.62297,0.000183052,0.00461824
AK2: adenylate kinase 2,ENSGALG00000003597,32.4293,90.284,1.47717,0.00363066,0.0434283
AKAP1: A kinase (PRKA) anchor protein 1,ENSGALG00000005575,38.0654,82.512,1.11612,2.71E-05,0.000997699
"ALDH18A1: aldehyde dehydrogenase 18 family, member A1",ENSGALG00000010522,38.4186,96.5426,1.32936,0.00113998,0.0195042
ALDH7A1,ENSGALG00000008229,25.2386,74.0345,1.55257,0.00425537,0.0484191
"ALDH9A1: aldehyde dehydrogenase 9 family, member A1",ENSGALG00000003495,2.98452,9.39538,1.65445,2.69E-05,0.000997699
ALG6: asparagine-linked glycosylation 6  ,ENSGALG00000010991,14.4595,32.6278,1.17408,5.45E-08,4.34E-06
ALMS1: Alstrom syndrome 1,ENSGALG00000016039,36.7578,87.0766,1.24424,0.000311979,0.00711696
ALX1: ALX homeobox 1,ENSGALG00000011144,1.59899,19.0398,3.57378,5.86E-06,0.000263318
AMACR: alpha-methylacyl-CoA racemase,ENSGALG00000003326,2.81292,9.60517,1.77174,0.00272143,0.0361674
AMD1: adenosylmethionine decarboxylase 1,ENSGALG00000015049,9.4763,39.2363,2.04979,0.000211159,0.00518718
AMIGO2: adhesion molecule with Ig-like domain 2,ENSGALG00000009739,2.12908,18.313,3.10456,2.90E-05,0.00105839
AMMECR1L: AMME chromosomal region gene 1-like,ENSGALG00000002061,15.0636,35.2071,1.2248,0.00379916,0.0450263
ANAPC7: anaphase promoting complex subunit 7,ENSGALG00000003826,9.53454,28.2335,1.56617,0.00402553,0.046805
"ANKH: ankylosis, progressive homolog (mouse)",ENSGALG00000012964,4.41086,30.0079,2.76621,2.19E-13,5.81E-11
ANKIB1: ankyrin repeat and IBR domain containing 1,ENSGALG00000009394,11.8754,30.092,1.34141,0.000197543,0.00492116
ANKRD27: ankyrin repeat domain 27 (VPS9 domain),ENSGALG00000004671,5.03064,12.9893,1.36851,2.56E-05,0.000960784
ANKRD31: ankyrin repeat domain 31,ENSGALG00000014945,26.6173,73.0762,1.45703,8.55E-05,0.00246835
ANKRD46: ankyrin repeat domain 46,ENSGALG00000013904,12.9049,41.0884,1.67082,6.93E-05,0.0021042
