,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
30,31,F15E11.14,4.1488721166169696e-38,2.82966461811718e-35,-5.06659992517148,0.392568704269425,6.6015015350795805,5.12393516825005,0.0025899372078286103,0.228575344149834,0.0171343696592811,0.228575344149834,WBGene00017500,pud-2.2
3839,3840,C06G3.5b,0.0028872396812932,0.015897111609786997,-5.058852726306711,1.6978893314332602,3.6224267427491004,7.7078820078997,2.9039409112922203,1.42030136140011,0.131657673665777,1.42030136140011,WBGene00015551,C06G3.5
4026,4027,C44B7.10.1,0.0036716445255563297,0.0192677041955417,-4.77435419380875,1.6434526734108201,2.9706984636863702,10.4795190582833,1.16989113824933,2.88151389636241,0.216965541492813,2.88151389636241,WBGene00016630,C44B7.10
22,23,Y19D10B.7,7.061096813759919e-42,6.49098999710113e-39,-4.62640154708811,0.341219019440976,6.652858840327129,4.39144797447087,0.0410777325399213,0.13356789630247098,0.016533479299359,0.13356789630247098,WBGene00021236,pud-1.2
42,43,F15E11.13,1.84453663326915e-35,9.069543729583628e-33,-4.56490358585047,0.367311426029536,6.32688593742514,4.32439023122785,0.0931259074041149,0.10925061813366199,0.0206960249458447,0.10925061813366199,WBGene00017499,pud-1.1
166,167,M199.5a,3.89885786243366e-19,4.93614082547514e-17,-4.4445723364365195,0.49716702931925105,4.60654864567478,3.57207263955854,0.304011621926986,-0.160269023279385,0.0667509606362075,0.0667509606362075,WBGene00000708,col-135
504,505,F08A8.3,4.73199468418545e-11,1.98115967540065e-09,-4.0857889010085495,0.621022393456061,3.00777208249812,3.42601647628267,0.17830504723843302,0.40019817252240797,0.21071934018453303,0.40019817252240797,WBGene00008566,F08A8.3
2171,2172,T24B8.1b.3,7.394553032726851e-05,0.000719811393973038,-4.07601238055504,1.02845974131278,3.12504395617993,3.7981626272190296,1.21611390012927,0.370480259122448,0.19216526547945603,0.370480259122448,WBGene00004446,rpl-32
107,108,K07C6.5,2.28000507965396e-22,4.4325194789828394e-20,-3.65854922550279,0.376066321537024,4.58702328062158,2.37060282163552,0.0250165979361692,0.18712221935541398,0.0675978620285574,0.18712221935541398,WBGene00019473,cyp-35A5
7,8,F32A5.3,1.2876633590338598e-65,3.4031333000065998e-62,-3.6473746320413,0.21319364931098897,5.51947459880197,2.25306528257175,0.0091415348387523,0.0590357633210532,0.0375332871880549,0.0590357633210532,WBGene00017969,F32A5.3
251,252,T05E7.1,1.5886591320778999e-15,1.33289762021917e-13,-3.5899202395628,0.45043756550506503,3.53801799450063,2.40803411585155,0.0569923007919869,0.24734869983520802,0.139998286069505,0.24734869983520802,WBGene00020258,T05E7.1
59,60,T05C3.6a,1.0935376964707498e-30,3.8534445860801697e-28,-3.5669332000473304,0.30973235592819603,4.1048314347401105,2.54904751817104,0.0499103401342851,0.0122843690736539,0.0939908583289611,0.0939908583289611,WBGene00020256,T05C3.6
160,161,W07B8.5,2.16393576938878e-19,2.84174496721659e-17,-3.5271177210372997,0.39170044609058,7.2562309204593305,2.38006575239326,0.00147844425509704,0.228665414946242,0.0111327221196514,0.228665414946242,WBGene00000785,cpr-5
