Class 2 Genes,,,,
B0024.6,B0024.6: gcy-6: Putative guanylyl cyclase expressed in the ASEL neuron,,,
B0207.4,"B0207.4: air-2: Member of the aurora sub-family of serine/threonine protein kinases; associated with mitotic chromosomes; probably required for chromosome segregation, cytokinesis and polar body extrusion",,,
B0207.5,B0207.5: Putative paralog of C. elegans Y76G2B.C gene product,,,
B0281.5,"Protein containing a K+ channel tetramerization domain, which facilitate assembly of alpha-subunits into functional tetrameric channels, has high similarity to uncharacterized C. elegans C40A11.6",,,
B0365.6*,B0365.6: Member of the C-type lectin protein family,,,
B0478.1*,jnk-1; B0478.1A; B0478.1 Neuronally expressed serine/threonine protein kinase of the MAP kinase subfamily,,,
B0554.6,"Member of the protein of unknown function (DUF274) family, has high similarity to uncharacterized C. elegans ZK6.11 ",,,
C01A2.3**,"Member of the 60Kd inner membrane protein family, has low similarity to S. cerevisiae Oxa1p, which is required for assembly of F1F0-ATP synthase and cytochrome oxidase and for export of Cox2p termini through the inner mitochondrial membrane ",,,
C01B7.1*,"Protein containing four C2H2 type zinc finger domains, which bind nucleic acids ",,,
C03G6.15,"Member of the cytochrome P450 family, has low similarity to cytochrome P450 subfamily IIC (mephenytoin 4-hydroxylase) polypeptide 8 (human CYP2C8), which is a heme-binding monooxygenase that metabolizes steroids, fatty acids, and xenobiotics ",,,
C04F5.1**,Protein involved in double-stranded RNA-mediated gene interference,,,
C04F6.1*,C04F6.1: vit-5: 170 kDa yolk protein,,,
C05B5.1,C05B5.1: Protein of unknown function,,,
C05B5.2,C05B5.2: Putative paralog of C. elegans C33F10.11 gene product,,,
C05D2.8,C05D2.8: Protein of unknown function,,,
C06B3.3,"Member of the cytochrome P450 family, has low similarity to cytochrome P450 2j4 (rat Cyp2j4), which is a monooxygenase that converts arachidonic acid to hydroxyeicosatetraenoic and epoxyeicosatrienoic acids ",,,
C07H6.5**,Probable DEAD-box type RNA helicase; required for gametogenesis and prevention of germ line apoptosis ,,,
C08B11.4,"C08B11.4: nrf-6: Protein predicted to span a membrane twelve times, member of a family of C. elegans and D. melanogaster proteins",,,
C08B6.10,C08B6.10: Protein of unknown function,,,
C08F11.8,"Protein containing a UDP-glucoronosyl and UDP-glucosyl transferase domain, has low similarity to UDP glycosyltransferase 1 A3 (human UGT1A3), which converts hydrophobic xenobiotic and endobiotic compounds to hydrophilic compounds for removal from cells",,,
C08F8.5*,"Protein containing two F-box domains, which serve as a link between a target protein and a ubiquitin-conjugating enzyme ",,,
C09F12.1,"C09F12.1: Protein of unknown function, has moderate similarity to C. elegans T05A10.2",,,
C09G1.1**,Protein of unknown function ,,,
C09G4.5**,"mes-6; C09G4.4; C09G4.5 WD-40 repeat protein required for RNA interference (RNAi), has similarity to human and mouse EED (embryonic ectoderm development protein) and D. melanogaster ESC (extra sexcombs) ",,,
