,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
1158,1159,F23F12.9b,0.0019233335076223302,0.0350808412203319,1.73705280660353,0.5600104124677789,3.8852583599179797,1.11018758736798,0.0842385055889167,0.3861789875195821,0.10935631630667401,0.3861789875195821,WBGene00017755,zip-8
1733,1734,B0244.5,0.00628424772766738,0.0766250575006179,1.7386819385402301,0.636281037979366,2.2144465794040498,1.06902928882774,0.178830380073232,0.4284499588649171,0.39708324816383006,0.4284499588649171,WBGene00015080,B0244.5
692,693,K11H3.7,0.000375627527222399,0.0114685355258869,1.7615429790591002,0.495282822232055,2.9141199165305602,0.855446908665601,0.14108501264856502,-0.0784886729903147,0.22687259834865897,0.22687259834865897,WBGene00010784,twk-48
369,370,F23F12.9a,3.20006346487279e-05,0.00181924175413641,1.7994303975724302,0.432686323362026,4.8214057194462505,0.986249640475177,0.0184214584162233,0.26240472322059805,0.0583282752342646,0.26240472322059805,WBGene00017755,zip-8
69,70,ZK512.3,4.23572800685906e-09,1.2793713892717301e-06,1.8026150445724198,0.306843005986279,4.48732656457771,0.622974425488872,0.0185960514064773,0.12263289407756599,0.0721789113684823,0.12263289407756599,WBGene00000425,ced-11
30,31,K02D3.1,3.02445529824262e-13,2.06277607647561e-10,1.81087065295952,0.24829223579658802,4.603562851259389,0.8555832611988969,0.0216330208833744,0.0708405306519286,0.0668794712973382,0.0708405306519286,WBGene00010504,K02D3.1
427,428,T02G5.14,5.49087300331298e-05,0.00272853389872013,1.8350528583464198,0.45493202878141403,3.1284465058025,1.07616345347248,0.118791705291021,0.0757766392099841,0.19165302092574,0.19165302092574,WBGene00020170,T02G5.14
921,922,E04A4.1,0.000908513175279925,0.0208337245823682,1.8666165117573201,0.562670304794636,2.45539475684689,0.746737111139359,0.147966694599868,-0.00457609409746709,0.326930113246664,0.326930113246664,WBGene00017116,fbxb-78
1619,1620,F14F3.1a,0.0052333302373299105,0.068301420498683,1.8883134684626102,0.6762551185878879,2.25882595286464,1.71489611849106,0.302909581608428,0.16644460499573002,0.38307189651604995,0.38307189651604995,WBGene00006870,vab-3
1161,1162,W06H8.8f.2,0.0019286277461436,0.035092062337964,1.9147813863638898,0.617470544063106,5.60689379800102,0.9714174633346121,0.111217012396114,0.46068779678226895,0.0352896717758099,0.46068779678226895,WBGene00006436,ttn-1
723,724,F36H5.13,0.000423974863265039,0.0123813543287468,1.9148405162590802,0.543264580509879,3.34537694273085,1.6181610665781598,0.111847278830455,0.330857327824408,0.161795915958769,0.330857327824408,WBGene00206519,F36H5.13
1908,1909,T05A1.3a,0.008296851858757209,0.0919578287940743,1.91993889683857,0.727319935446759,1.95960465148972,1.10015394818491,0.305145570200393,0.18808286155769502,0.48834586254702295,0.48834586254702295,WBGene00011454,lron-14
8,9,F21C10.11a,1.58583562053753e-20,3.7254802805583205e-17,1.92824590081231,0.20762678172333301,5.246152413583769,1.6977127505774001,0.0197194118095783,0.036688591995487,0.0449439089236045,0.0449439089236045,WBGene00017660,F21C10.11
382,383,F40G9.15,3.64475195532848e-05,0.00201650656119808,1.9316457524767,0.46783346200101705,3.2051621238879706,1.2592050771476297,0.0939632910062944,0.23433893124549102,0.180472410266652,0.23433893124549102,WBGene00077531,F40G9.15
580,581,C24H12.11,0.0001935731016433,0.00703215822688024,1.9378195131260902,0.519904636738328,3.53363735203275,1.8228635415853403,0.0819018979776423,0.323549348975377,0.14044952030209198,0.323549348975377,WBGene00016080,C24H12.11
35,36,F52F10.3,1.19184872308204e-11,6.999793764478779e-09,1.9739773301078,0.29109573995239,4.06940347635354,0.9769277481143249,0.0307959910529027,0.0497688821681343,0.0963091036747413,0.0963091036747413,WBGene00018707,oac-31
1100,1101,W03F8.6b,0.0016519499542489997,0.0317457060949452,2.0216654848431297,0.642497193537407,2.3342519532009,1.6111982182409799,0.25878172940062,0.264961071652638,0.360422236154546,0.360422236154546,WBGene00020995,W03F8.6
1313,1314,F40G9.6,0.00292204756256257,0.0470173908791936,2.03688448321382,0.6844780136643089,3.56980868385602,2.06481899823364,0.0894284416171105,0.613336785167647,0.136779303310979,0.613336785167647,WBGene00018242,F40G9.6
1504,1505,F14D2.17,0.00424812264912245,0.0596797722062432,2.19681111706898,0.7683510304905509,1.50672909478158,1.90633624187089,0.17984655449257397,0.34200957180923,0.705698404591263,0.705698404591263,WBGene00077751,irld-27
1171,1172,T14F9.5,0.00198258736825293,0.0357660791185766,2.2296379955203904,0.720905819580462,1.6629643623841,1.49729177556719,0.157961478450754,0.6214854630704101,0.621596322606713,0.621596322606713,WBGene00003018,lin-32
132,133,F56A12.1,2.78453989707623e-07,4.42658098074306e-05,2.44069629930288,0.475076985592421,3.5693395630202205,1.48613027300793,0.0958629489104653,0.24268426444890698,0.136826104986416,0.24268426444890698,WBGene00006775,unc-39
1943,1944,Y39B6A.19a,0.00875930970762796,0.0952665047059557,2.4953799437779,0.951959855092054,1.4589392429483101,2.7304744426541,0.625753152164535,0.38653426219575204,0.7335881963957909,0.7335881963957909,WBGene00006696,twk-46
246,247,Y1H11.2,7.394076269669279e-06,0.0006329269415773991,2.53096922027397,0.564694215782171,2.5478992552502597,1.00191466181585,0.17476150361138904,-0.00529762854246826,0.303557832395373,0.303557832395373,WBGene00001783,gst-35
699,700,R02C2.3,0.00039245664511359504,0.0118535946669438,2.57996267177013,0.727753518473455,1.6690019452146798,1.8580547669087901,0.163423422574454,0.631014352901285,0.6185528965565931,0.631014352901285,WBGene00006419,oac-39
237,238,C40A11.6,6.7152461076462406e-06,0.000596556506109094,2.60417949355094,0.578382671157212,2.8309239450996806,2.1456232167238,0.161477211469162,0.340312559973266,0.24230622765799698,0.340312559973266,WBGene00016549,C40A11.6
1379,1380,ZK783.1j,0.00336672931207316,0.0515817085834513,2.6827983831134103,0.9149735126174531,1.69049851098818,2.3925019190402703,0.6479285837073929,-0.522804903838599,0.6078362094798879,0.6078362094798879,WBGene00022816,fbn-1
27,28,B0272.1,1.0644874077346602e-13,8.03802045061926e-11,2.68290273501877,0.360962130779782,3.9239382150429396,1.9241305597816798,0.0889761455294981,0.10307599361714098,0.106464344256123,0.106464344256123,WBGene00006538,tbb-4
322,323,C24H12.3,1.97221594618751e-05,0.00129097714397036,2.69478556750113,0.6313910933272371,2.38312792725927,2.56683123105256,0.0990151852059454,0.49896688389349997,0.34649672489944205,0.49896688389349997,WBGene00023244,C24H12.3
163,164,C11D2.2,7.98694044537568e-07,0.00010296822063205999,2.8223718269014,0.571829663626694,2.2196252409849,2.9152275003537595,0.09506236779205099,0.38363748237248396,0.39542137851307707,0.39542137851307707,WBGene00015700,asp-9
143,144,T26H2.2,4.45073331156316e-07,6.53485100044305e-05,2.82300556290219,0.5591666770253121,2.4347136169959303,2.05806148917158,0.136592485908086,0.0802258274382305,0.332408573135208,0.332408573135208,WBGene00012064,fbxb-115
88,89,F56H11.1c,1.5641664935969998e-08,3.7158620420361e-06,2.82514798949475,0.49963952417054297,3.36412565815746,3.48553460121163,0.21497519852953698,0.0704359896607898,0.15948428264051198,0.15948428264051198,WBGene00001403,fbl-1
197,198,Y60C6A.2,2.1691567570577097e-06,0.00023162869350742998,2.83119814551875,0.597678703127678,2.9446714455501497,7.155690356429441,0.0437791077044267,0.49205064055414793,0.22146568421979104,0.49205064055414793,WBGene00202498,Y60C6A.2
1953,1954,C17H12.7,0.00893679709274785,0.09665397002005,2.86543189883204,1.09599273331468,0.927235860125972,1.6733361827533897,0.676076887946603,-0.40759181069187106,1.12572321927127,1.12572321927127,WBGene00023238,C17H12.7
